id;description;acquisition_month;asset_serial;service_outlet_code;acquisition_transaction_id;asset_category_id;purchase_amount;asset_dealer_id;asset_invoice_id
1;Turkish Lira;2019-10-29T13:22:59;payment;HDD;65087;68013;53295;23082;32433
2;collaboration Aruban Guilder;2019-10-28T15:12:08;withdrawal Wyoming;Lodge proactive New Hampshire;8876;95762;96166;17530;63496
3;override Hat partnerships;2019-10-29T04:55:01;synthesizing Garden;invoice;79544;47488;92717;38252;23464
4;redefine;2019-10-29T11:24:12;Producer;generate Switchable Kyat;9292;62358;25704;8912;78790
5;RAM Auto Loan Account Buckinghamshire;2019-10-29T11:14:17;Small Wooden Gloves Expanded viral;Incredible Integration;55380;50972;30552;82528;39698
6;Village;2019-10-29T00:38:50;Avon Forward Borders;Texas aggregate Cambridgeshire;39717;11636;53973;81744;62795
7;CFA Franc BEAC Syrian Arab Republic;2019-10-28T21:44:51;Soft orange bypassing;utilize;17352;15379;69495;22361;34609
8;Planner invoice generating;2019-10-29T11:52:51;FTP Investor;Rubber Legacy;82933;17483;31753;50256;95279
9;hacking withdrawal;2019-10-29T12:08:21;Brooks;Concrete Associate;54952;77672;96582;12203;43249
10;task-force Cambridgeshire;2019-10-29T04:30:47;Refined;Electronics Kids;60255;65020;36479;15202;38646
