id;description;file_name;period_from;period_to;file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;Knolls networks Auto Loan Account;South Dakota Applications;2019-11-08T04:30:38;2019-11-07T09:24:55;10926;696e766f6963652073756363657373;image/png;false;false;AGP
2;Beauty Orchestrator;Mobility;2019-11-08T08:51:48;2019-11-07T15:01:12;47684;7769746864726177616c;image/png;true;false;cross-platform optimal sky blue
3;auxiliary Strategist olive;bypassing 24 hour Books;2019-11-07T15:36:48;2019-11-08T01:07:10;83414;4163636f756e7473207175616e74696679696e67203130383070;image/png;true;true;Checking Account Fantastic Buckinghamshire
4;fresh-thinking;utilize Incredible Plastic Towels Generic;2019-11-07T13:55:29;2019-11-07T19:28:23;94768;4772616e697465;image/png;true;true;sensor
5;Steel;whiteboard composite Synergistic;2019-11-08T02:34:41;2019-11-07T23:41:27;80348;7472616e736974696f6e616c2047617264656e;image/png;true;false;Optimized deposit Supervisor
6;grey systems;Concrete SMS Cambridgeshire;2019-11-07T22:32:16;2019-11-07T22:25:39;58586;5374616e642d616c6f6e652070726f6a656374696f6e20696e7465726d656469617465;image/png;true;true;Frozen
7;port target Ball;Fresh Credit Card Account Gorgeous Soft Shirt;2019-11-08T01:42:00;2019-11-08T06:51:22;13;706f7274;image/png;true;true;Awesome Fresh Shoes Garden User-centric
8;Incredible Security copying;local;2019-11-07T13:05:50;2019-11-07T12:31:30;31334;66756e6374696f6e616c6974696573207365697a65;image/png;true;true;Ergonomic Australian Dollar Borders
9;Web calculating;Games Ball circuit;2019-11-07T17:19:44;2019-11-08T04:56:05;96604;5365796368656c6c657320527570656520506172616469676d2061747469747564652d6f7269656e746564;image/png;false;true;invoice Ergonomic Plastic Shoes
10;syndicate ADP Locks;orchid;2019-11-08T00:28:23;2019-11-07T14:49:25;36981;536f6d616c6961206170706c69636174696f6e73;image/png;true;false;invoice Row
