id;category_name;category_description;category_asset_code;category_depreciation_code;depreciation_regime_id
1;input invoice calculate;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;Branding;3942
2;pixel;Officer New Hampshire Unions;Music;card azure Frozen;42176
3;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut;Unbranded Tugrik;33987
4;interface Awesome Plastic Bacon;Senegal withdrawal;Home Loan Account ADP Personal Loan Account;web-readiness;46194
5;Supervisor Outdoors sky blue;Factors primary;Garden Licensed Steel Shirt Sleek Granite Tuna;AGP Coordinator;76827
6;e-services;Russian Federation program;Practical;emulation SQL;71555
7;Arizona;Automotive;Practical Wooden Shirt whiteboard Concrete;Data open-source Generic;41758
8;SCSI Communications Underpass;Officer parse;Intuitive;quantifying Phased connecting;12033
9;Intelligent Cotton Bike;lavender;copying primary invoice;EXE;92775
10;Designer Ball;Buckinghamshire Buckinghamshire;Salad indexing Pre-emptive;generate;3486
