id;service_outlet_code;asset_category_id;fixed_asset_serial_code;fixed_asset_description;purchase_date;purchase_cost;purchase_transaction_id;ownership_document_id;asset_picture;asset_picture_content_type
1;convergence Idaho customized;39148;Mali Unbranded Concrete Soap;Cotton Tactics;2019-11-07T18:15:25;73054;33490;69371;496e766573746d656e74204163636f756e74205277616e646120437573746f6d6572;image/png
2;Liaison copy program;77857;Steel salmon application;USB scalable;2019-11-07T13:36:43;53648;11063;37882;53686f657320496e74756974697665;image/png
3;synthesize Baby Credit Card Account;56550;port Money Market Account;Chips National Idaho;2019-11-07T23:42:06;42359;46200;28792;4d6f6e6579204d61726b6574204163636f756e74;image/png
4;bus;59296;Awesome International solid state;alarm;2019-11-08T05:39:40;77124;57628;37443;436869656620436f76657320436f6e6372657465;image/png
5;Pizza yellow programming;33214;instruction set Persistent Investment Account;Handmade Plastic Mouse neural;2019-11-08T09:12:39;60372;33349;11426;7765622d656e61626c656420696e74657261637469766520636170616369746f72;image/png
6;Idaho Grocery;91274;Devolved;Avon web-readiness;2019-11-07T11:21:57;31147;36239;78049;7061796d656e74;image/png
7;Strategist;45898;Massachusetts;Awesome Officer Bedfordshire;2019-11-07T19:01:58;30993;6707;39731;6f726368696420546f6f6c73;image/png
8;generating Arkansas;29404;system Macedonia Japan;target Rhode Island;2019-11-08T05:35:46;10298;18192;33436;7061796d656e7420736368656d617320496e647573747269616c;image/png
9;calculating;86699;web-readiness Cyprus;Distributed;2019-11-07T17:11:48;50550;1971;59504;53616c6164207061796d656e74;image/png
10;bandwidth;80531;Producer;SAS parsing;2019-11-07T23:47:23;94440;66808;14108;53656e696f72;image/png
