id;service_outlet_code;service_outlet_designation;description;location
1;deposit;fuchsia Music Salad;withdrawal circuit;generating frictionless solution-oriented
2;distributed Computers;Money Market Account users Guinea;SQL lavender;transmit Wooden COM
3;Agent Squares;supply-chains;Bedfordshire;Peru withdrawal Down-sized
4;invoice;Liaison Tonga;Lari;Sports Global Soft
5;Bedfordshire Awesome Cotton Tuna;calculating yellow;Wooden;Future
6;pixel Phased payment;Towels Internal;seize generate;Fantastic Wooden Chips microchip
7;Generic;Business-focused generate grid-enabled;International card;West Virginia Keys
8;Factors Soft;black Beauty;Soap;Refined Granite Sausages Savings Account extensible
9;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary
10;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan
