id;description;depreciation_amount;depreciation_date;category_id;asset_item_id
1;Triple-buffered array;43445;2019-11-14;25368;1135
2;Parkway Handmade Wooden Cheese;11752;2019-11-14;64921;74421
3;Naira Versatile seize;47771;2019-11-15;8289;86859
4;Mandatory Assistant;1215;2019-11-14;96987;55600
5;success;4340;2019-11-14;92464;99296
6;Gorgeous Rubber Chicken Associate Central African Republic;62939;2019-11-15;69574;29449
7;Orchestrator Naira;38420;2019-11-14;73710;4544
8;web-enabled Brand Regional;45565;2019-11-15;62013;33566
9;Mouse;64684;2019-11-14;38826;35335
10;Indiana;7773;2019-11-15;97439;25994
