id;description;disposal_month;asset_category_id;asset_item_id;disposal_proceeds;net_book_value;profit_on_disposal;scanned_document_id;asset_dealer_id;asset_picture;asset_picture_content_type
1;Ridges Beauty dynamic;2019-11-14;81379;60278;68473;27095;16261;13318;91092;../fake-data/blob/hipster.png;image/png
2;parsing;2019-11-14;41663;72571;58116;61341;91917;41824;8274;../fake-data/blob/hipster.png;image/png
3;SCSI Aruba Chair;2019-11-14;37646;77760;81055;48037;98727;98528;15041;../fake-data/blob/hipster.png;image/png
4;Credit Card Account disintermediate;2019-11-14;82916;84211;56908;83832;6351;46869;3682;../fake-data/blob/hipster.png;image/png
5;Plastic Movies;2019-11-15;86472;69171;81290;53434;99971;74991;99663;../fake-data/blob/hipster.png;image/png
6;Monaco input Accounts;2019-11-14;37785;24734;24108;45054;20504;12915;25144;../fake-data/blob/hipster.png;image/png
7;mission-critical white SMTP;2019-11-14;61812;4689;35816;26867;11355;2218;67157;../fake-data/blob/hipster.png;image/png
8;Kyrgyz Republic transmit;2019-11-14;30777;85218;81638;55190;96797;56093;8840;../fake-data/blob/hipster.png;image/png
9;redundant Connecticut Burg;2019-11-14;75513;78466;62030;63936;70407;80504;21296;../fake-data/blob/hipster.png;image/png
10;Rubber Industrial seamless;2019-11-14;63664;39224;55481;43747;9100;90415;72639;../fake-data/blob/hipster.png;image/png
