id;transfer_month;asset_serial_tag;service_outlet_code;transfer_transaction_id;asset_category_id;cwip_transaction_id;transfer_details;transfer_amount;dealer_id;transaction_invoice_id
1;2019-11-14;Cheese orchestration Robust;Steel salmon application;49398;87676;75463;Licensed Bosnia and Herzegovina;37882;84645;45700
2;2019-11-15;syndicate haptic;Bedfordshire;40895;72225;77188;Baby Credit Card Account Nevada;71617;25179;59902
3;2019-11-15;Chips National Idaho;vortals value-added;61495;15335;91185;Granite Generic;25601;1811;72609
4;2019-11-14;Security Virginia;solid state Clothing deposit;77124;57628;37443;Practical Steel Fish Unbranded;84043;92556;91068
5;2019-11-14;Concrete;Pizza yellow programming;33214;86989;31144;Persistent Investment Account;37930;5476;74424
6;2019-11-15;neural;Money Market Account;11426;39816;41450;JSON National;46570;34695;48083
7;2019-11-14;Path Assimilated Unions;Devolved;57763;49836;16551;Automotive frame;78049;58058;27758
8;2019-11-14;Electronics;Bedfordshire Strategist;45898;14866;55730;SDD Zimbabwe;18446;50219;29959
9;2019-11-14;Fantastic Soft Table;solid state;34938;20513;46823;Checking Account;37772;47206;83656
10;2019-11-14;Gorgeous Soft Fish Mountain;Japan Knoll;49701;55964;76535;Intelligent;33436;86178;7550
