id;asset_decay_type;depreciation_rate;description
1;STRAIGHT_LINE;50272;Grass-roots Regional
2;DECLINING_BALANCE;11689;Tactics Credit Card Account
3;DECLINING_BALANCE;62007;Rwanda Customer
4;DECLINING_BALANCE;74394;Electronics
5;DECLINING_BALANCE;34208;connecting
6;STRAIGHT_LINE;12748;syndicate haptic
7;STRAIGHT_LINE;72225;driver payment Mexican Peso Mexican Unidad de Inversion (UDI)
8;DECLINING_BALANCE;18159;National Idaho strategize
9;DECLINING_BALANCE;58622;Avon
10;DECLINING_BALANCE;93211;Virginia
