id;file_type_name;file_medium_type;description;file_template;file_template_content_type;file_type
1;programming;PDF;India;../fake-data/blob/hipster.png;image/png;DEPRECIATION_UPLOAD
2;Wooden;HTML5;Money Market Account Credit Card Account withdrawal;../fake-data/blob/hipster.png;image/png;ASSET_ITEM_UPLOAD
3;seize generate;EXCEL;Auto Loan Account;../fake-data/blob/hipster.png;image/png;DISPOSAL_UPLOAD
4;International card;TEXT;Research sensor black;../fake-data/blob/hipster.png;image/png;DEPRECIATION_UPLOAD
5;backing up indexing;EXCEL;Incredible interface;../fake-data/blob/hipster.png;image/png;DISPOSAL_UPLOAD
6;Licensed;TEXT;24 hour Colorado granular;../fake-data/blob/hipster.png;image/png;ASSET_ITEM_UPLOAD
7;mobile;HTML5;alarm 1080p payment;../fake-data/blob/hipster.png;image/png;CWIP_UPLOAD
8;Rand Namibia Dollar;EXCEL;pixel;../fake-data/blob/hipster.png;image/png;ACQUISITION_UPLOAD
9;Metal;HTML5;Shoal HTTP indexing;../fake-data/blob/hipster.png;image/png;CWIP_UPLOAD
10;payment;EXCEL;Tugrik magnetic interface;../fake-data/blob/hipster.png;image/png;CWIP_TRANSFER_UPLOAD
