id;description;file_name;period_from;period_to;file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;Intranet mint green;holistic strategic;2019-10-28;2019-10-27;2419;../fake-data/blob/hipster.png;image/png;true;true;neutral Cambridgeshire
2;solid state;systematic;2019-10-28;2019-10-28;87273;../fake-data/blob/hipster.png;image/png;false;true;turquoise redundant
3;Applications panel;Small circuit;2019-10-28;2019-10-27;43685;../fake-data/blob/hipster.png;image/png;true;true;bypass
4;Polarised;Cotton;2019-10-27;2019-10-27;65695;../fake-data/blob/hipster.png;image/png;false;true;Gorgeous Steel Car
5;Computers;Extended;2019-10-27;2019-10-27;24954;../fake-data/blob/hipster.png;image/png;true;false;index Summit
6;actuating Shoes TCP;Generic Fresh Towels;2019-10-28;2019-10-28;53242;../fake-data/blob/hipster.png;image/png;false;false;revolutionary Future Shoes
7;Venezuela Rubber;Markets Refined Cotton Cheese modular;2019-10-27;2019-10-28;98129;../fake-data/blob/hipster.png;image/png;true;false;payment
8;salmon;Groves Representative;2019-10-27;2019-10-27;34950;../fake-data/blob/hipster.png;image/png;false;false;Fish
9;ROI;quantifying;2019-10-27;2019-10-28;52339;../fake-data/blob/hipster.png;image/png;true;false;AI
10;Bahrain wireless Mali;Intelligent Summit;2019-10-28;2019-10-28;16577;../fake-data/blob/hipster.png;image/png;false;true;overriding Bermudian Dollar (customarily known as Bermuda Dollar)
