id;category_name;category_description;category_asset_code;category_depreciation_code;depreciation_regime_id
1;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;63340
2;RSS;mint green e-business EXE;back-end;granular Direct contextually-based;64769
3;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;32320
4;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;97661
5;paradigms Home;Investor Public-key;Lebanon;Designer Persistent;67213
6;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;15071
7;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;69093
8;synthesize Creative;Forint;Concrete Global SMS;Profound;17495
9;Designer Borders content-based;Tasty Customer Human;pink even-keeled;bus Internal AI;77987
10;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;99445
