id;service_outlet_code;asset_category_id;fixed_asset_serial_code;fixed_asset_description;purchase_date;purchase_cost;purchase_transaction_id;ownership_document_id;asset_picture;asset_picture_content_type
1;neural Wooden Optimization;97424;Designer;mindshare;2019-11-12;54591;35091;70583;../fake-data/blob/hipster.png;image/png
2;Liaison;68803;generating SDD bypassing;Algerian Dinar Fantastic Fresh Salad;2019-11-12;14660;8134;51332;../fake-data/blob/hipster.png;image/png
3;Visionary;58130;PCI SAS;Interactions;2019-11-12;59188;75337;35021;../fake-data/blob/hipster.png;image/png
4;bandwidth Buckinghamshire;37798;system Triple-buffered;Cotton;2019-11-12;25368;1135;40520;../fake-data/blob/hipster.png;image/png
5;Arizona hack;76719;quantifying;synthesize Idaho Markets;2019-11-12;47771;28571;8289;../fake-data/blob/hipster.png;image/png
6;Cyprus web services auxiliary;97790;Arizona success Sleek Frozen Chips;Gorgeous Rubber Chicken Associate Central African Republic;2019-11-12;21680;69574;29449;../fake-data/blob/hipster.png;image/png
7;Orchestrator Naira;38420;protocol Product Usability;Regional;2019-11-12;10675;62013;33566;../fake-data/blob/hipster.png;image/png
8;Mouse;64684;facilitate Persevering;Fantastic;2019-11-12;25994;98621;45324;../fake-data/blob/hipster.png;image/png
9;Beauty dynamic schemas;60278;clear-thinking Frozen Licensed;Group hard drive Personal Loan Account;2019-11-12;8274;93272;87666;../fake-data/blob/hipster.png;image/png
10;Aruba Chair portals;77760;Ways Liaison engage;disintermediate Assistant generating;2019-11-12;6351;46869;3682;../fake-data/blob/hipster.png;image/png
